[15:03:01] Start!!
[15:03:05] 0.9666261 mAp
[15:03:05] 0.9666599 mAp
[15:03:05] 0.9666443 mAp
[15:03:05] 0.9666226 mAp
[15:03:05] 0.9666118 mAp
[15:03:05] 0.9665993 mAp
[15:03:05] 0.9666414 mAp
[15:03:05] 0.9666289 mAp
[15:03:05] 0.9666709 mAp
[15:03:05] 0.9666751 mAp
[15:03:05] 0.9666731 mAp
[15:03:05] 0.9666637 mAp
[15:03:05] 0.9666545 mAp
[15:03:05] 0.966638 mAp
[15:03:05] 0.966648 mAp
[15:03:05] 0.9666228 mAp
[15:03:05] 0.9666049 mAp
[15:03:05] 0.9665796 mAp
[15:03:05] 0.9665583 mAp
[15:03:05] 0.9665533 mAp
[15:03:05] 0.9665551 mAp
[15:03:05] 0.9665598 mAp
[15:03:05] 0.9665821 mAp
[15:03:05] 0.9665868 mAp
[15:03:05] 0.9665985 mAp
[15:03:05] 0.9666082 mAp
[15:03:05] 0.9666179 mAp
[15:03:05] 0.9666275 mAp
[15:03:05] 0.9666272 mAp
[15:03:05] 0.966652 mAp
[15:03:05] 0.9666768 mAp
[15:03:05] 0.9666613 mAp
[15:03:05] 0.9666406 mAp
[15:03:05] 0.9666312 mAp
[15:03:05] 0.9666193 mAp
[15:03:05] 0.9666508 mAp
[15:03:05] 0.9666389 mAp
[15:03:05] 0.9666703 mAp
[15:03:05] 0.9666731 mAp
[15:03:05] 0.9666711 mAp
[15:03:05] 0.9666623 mAp
[15:03:05] 0.9666535 mAp
[15:03:05] 0.9666378 mAp
[15:03:05] 0.9666481 mAp
[15:03:05] 0.9666238 mAp
[15:03:05] 0.9666054 mAp
[15:03:05] 0.966581 mAp
[15:03:05] 0.9665602 mAp
[15:03:05] 0.9665542 mAp
[15:03:05] 0.9665548 mAp
[15:03:05] 0.9665583 mAp
[15:03:05] 0.9665772 mAp
[15:03:05] 0.9665807 mAp
[15:03:05] 0.9665887 mAp
[15:03:05] 0.9665952 mAp
[15:03:05] 0.9666017 mAp
[15:03:05] 0.9666082 mAp
[15:03:05] 0.9666063 mAp
[15:03:05] 0.9666252 mAp
[15:03:05] 0.966644 mAp
[15:03:05] 0.9666287 mAp
[15:03:05] 0.9666089 mAp
[15:03:05] 0.9666013 mAp
[15:03:05] 0.9666482 mAp
[15:03:05] 0.9666376 mAp
[15:03:05] 0.9666703 mAp
[15:03:05] 0.9666596 mAp
[15:03:05] 0.9666922 mAp
[15:03:05] 0.9666932 mAp
[15:03:05] 0.9666905 mAp
[15:03:05] 0.966682 mAp
[15:03:05] 0.9666735 mAp
[15:03:05] 0.9666582 mAp
[15:03:05] 0.9666688 mAp
[15:03:05] 0.9666454 mAp
[15:03:05] 0.966628 mAp
[15:03:05] 0.9666047 mAp
[15:03:05] 0.9665847 mAp
[15:03:05] 0.9665787 mAp
[15:03:05] 0.9665834 mAp
[15:03:05] 0.9665949 mAp
[15:03:05] 0.9666263 mAp
[15:03:05] 0.9666377 mAp
[15:03:05] 0.9666451 mAp
[15:03:05] 0.9666508 mAp
[15:03:05] 0.9666565 mAp
[15:03:05] 0.9666622 mAp
[15:03:05] 0.9666599 mAp
[15:03:05] 0.9666772 mAp
[15:03:05] 0.9666944 mAp
[15:03:05] 0.9666796 mAp
[15:03:05] 0.9666607 mAp
[15:03:05] 0.9666548 mAp
[15:03:05] 0.9666455 mAp
[15:03:05] 0.9666849 mAp
[15:03:05] 0.9666756 mAp
[15:03:05] 0.9667148 mAp
[15:03:05] 0.9667153 mAp
[15:03:05] 0.9667128 mAp
[15:03:05] 0.9667051 mAp
[15:03:05] 0.9666973 mAp
[15:03:05] 0.9666827 mAp
[15:03:05] 0.9666958 mAp
[15:03:05] 0.9666735 mAp
[15:03:05] 0.9666584 mAp
[15:03:05] 0.9666361 mAp
[15:03:05] 0.9666176 mAp
[15:03:05] 0.9666121 mAp
[15:03:05] 0.96662 mAp
[15:03:05] 0.9666373 mAp
[15:03:05] 0.9666792 mAp
[15:03:05] 0.9666963 mAp
[15:03:05] 0.9667037 mAp
[15:03:05] 0.9667093 mAp
[15:03:05] 0.9667148 mAp
[15:03:05] 0.9667203 mAp
[15:03:05] 0.9667181 mAp
[15:03:05] 0.9667347 mAp
[15:03:05] 0.9667513 mAp
[15:03:05] 0.9667372 mAp
[15:03:05] 0.966719 mAp
[15:03:05] 0.9667142 mAp
[15:03:05] 0.9667066 mAp
[15:03:05] 0.9667507 mAp
[15:03:05] 0.966743 mAp
[15:03:05] 0.9667869 mAp
[15:03:05] 0.9667872 mAp
[15:03:05] 0.9667845 mAp
[15:03:05] 0.9667771 mAp
[15:03:05] 0.9667697 mAp
[15:03:05] 0.9667556 mAp
[15:03:05] 0.9667681 mAp
[15:03:05] 0.9667467 mAp
[15:03:05] 0.966733 mAp
[15:03:05] 0.9667116 mAp
[15:03:05] 0.9666939 mAp
[15:03:05] 0.9666879 mAp
[15:03:05] 0.9666968 mAp
[15:03:05] 0.9667189 mAp
[15:03:05] 0.9667409 mAp
[15:03:05] 0.9667478 mAp
[15:03:05] 0.9667528 mAp
[15:03:05] 0.9667577 mAp
[15:03:05] 0.9667626 mAp
[15:03:05] 0.9667601 mAp
[15:03:05] 0.9667753 mAp
[15:03:05] 0.9667904 mAp
[15:03:05] 0.9667767 mAp
[15:03:05] 0.9667593 mAp
[15:03:05] 0.9667574 mAp
[15:03:05] 0.9667578 mAp
[15:03:05] 0.9667583 mAp
[15:03:05] 0.9667582 mAp
[15:03:05] 0.9667554 mAp
[15:03:05] 0.9667484 mAp
[15:03:05] 0.9667414 mAp
[15:03:05] 0.9667278 mAp
[15:03:05] 0.9667404 mAp
[15:03:05] 0.96672 mAp
[15:03:05] 0.9667076 mAp
[15:03:05] 0.9666872 mAp
[15:03:05] 0.9666705 mAp
[15:03:05] 0.9666646 mAp
[15:03:05] 0.9666741 mAp
[15:03:05] 0.9666989 mAp
[15:03:05] 0.9667237 mAp
[15:03:05] 0.9667305 mAp
[15:03:05] 0.9667351 mAp
[15:03:05] 0.9667397 mAp
[15:03:05] 0.9667444 mAp
[15:03:05] 0.9667419 mAp
[15:03:05] 0.9667563 mAp
[15:03:05] 0.9667706 mAp
[15:03:05] 0.9667574 mAp
[15:03:05] 0.9667407 mAp
[15:03:05] 0.9667397 mAp
[15:03:05] 0.9667429 mAp
[15:03:05] 0.9667461 mAp
[15:03:05] 0.9667457 mAp
[15:03:05] 0.9667429 mAp
[15:03:05] 0.9667361 mAp
[15:03:05] 0.9667293 mAp
[15:03:05] 0.9667161 mAp
[15:03:05] 0.9667287 mAp
[15:03:05] 0.966709 mAp
[15:03:05] 0.9666981 mAp
[15:03:05] 0.9666784 mAp
[15:03:05] 0.9666625 mAp
[15:03:06] 0.9666575 mAp
[15:03:06] 0.966668 mAp
[15:03:06] 0.9666939 mAp
[15:03:06] 0.9667198 mAp
[15:03:06] 0.9667276 mAp
[15:03:06] 0.9667328 mAp
[15:03:06] 0.9667379 mAp
